epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.95525,3.08681,5.92757,1.9359,0,0,0,0,2.48326,4.34382,1.56315,0.00010002,0.00010002,0.00010002
2,5.55849,2.45658,5.2463,1.42668,0.00289,0.39286,0.00304,0.00096,2.00478,4.08659,1.20767,0.000214565,0.000214565,0.000214565
3,7.12767,2.12957,4.2259,1.14584,0.0044,0.89286,0.00847,0.00359,1.46497,3.91393,0.94794,0.000326799,0.000326799,0.000326799
4,8.69279,1.96996,3.13043,1.09678,0.00489,1,0.01002,0.00492,1.42604,3.58182,0.94255,0.000436722,0.000436722,0.000436722
5,10.1748,1.67342,2.70043,1.05593,0.00491,1,0.01038,0.00468,1.37156,3.54626,0.92497,0.000544336,0.000544336,0.000544336
6,11.6447,1.66499,2.19232,1.02852,0.00489,1,0.00941,0.00394,1.33672,3.53052,0.95074,0.000649638,0.000649638,0.000649638
7,13.0952,1.59763,2.06777,1.01537,0.00489,1,0.00907,0.00433,1.33671,3.33293,0.93569,0.00075263,0.00075263,0.00075263
8,14.6569,1.69742,1.92799,1.01838,0.00494,1,0.64314,0.3704,1.33357,3.03292,0.94671,0.000853312,0.000853312,0.000853312
9,16.142,1.52018,1.77687,1.03007,0.00495,1,0.72472,0.3701,1.32989,2.90292,0.94929,0.000951684,0.000951684,0.000951684
10,17.6379,1.49712,1.76435,1.02484,0.00491,1,0.82118,0.484,1.38037,2.81072,0.96463,0.00104774,0.00104774,0.00104774
11,19.1205,1.4252,1.811,1.05012,1,0.49298,0.95953,0.57985,1.42403,2.34419,0.98372,0.00114149,0.00114149,0.00114149
12,20.5967,1.4525,1.7582,0.99086,1,0.41769,0.88601,0.52833,1.35332,2.43738,0.96712,0.00123293,0.00123293,0.00123293
13,22.0799,1.35077,1.79649,0.99054,0.98644,0.51211,0.96205,0.57309,1.35763,2.07786,0.97796,0.00132206,0.00132206,0.00132206
14,23.5362,1.40859,1.6593,1.02549,0.98644,0.51211,0.96205,0.57309,1.35763,2.07786,0.97796,0.00140888,0.00140888,0.00140888
15,25.0009,1.33878,1.51399,1.0034,0.98686,0.92276,0.995,0.63313,1.27638,1.69311,0.95389,0.00143595,0.00143595,0.00143595
16,26.4806,1.29752,1.41175,0.96334,0.94647,0.90484,0.995,0.64225,1.32182,1.32746,0.97144,0.00141945,0.00141945,0.00141945
17,27.9957,1.3767,1.52141,1.00496,0.93778,0.96429,0.99267,0.57848,1.37579,1.07539,0.98435,0.00140295,0.00140295,0.00140295
18,29.5145,1.30508,1.47127,0.97492,0.9214,0.99126,0.99267,0.6086,1.37504,1.15109,0.98717,0.00138644,0.00138644,0.00138644
19,31.0125,1.32154,1.46066,0.93436,0.94897,1,0.99267,0.63197,1.32485,1.07574,0.98419,0.00136994,0.00136994,0.00136994
20,32.4659,1.26286,1.32102,0.96687,0.95931,0.99532,0.99267,0.62801,1.27729,0.95968,0.97683,0.00135344,0.00135344,0.00135344
21,33.9618,1.30675,1.42848,0.93129,0.95617,0.96429,0.99267,0.62882,1.30141,0.92405,0.96918,0.00133693,0.00133693,0.00133693
22,35.4099,1.40031,1.31698,1.00904,0.95617,0.96429,0.99267,0.62882,1.30141,0.92405,0.96918,0.00132043,0.00132043,0.00132043
23,36.9003,1.24833,1.42319,0.95921,0.90918,0.99108,0.99033,0.68163,1.21943,0.95382,0.93583,0.00130393,0.00130393,0.00130393
24,38.3739,1.16183,1.23039,0.93329,0.91909,1,0.98567,0.70539,1.17633,0.96296,0.92693,0.00128742,0.00128742,0.00128742
25,39.916,1.29146,1.29085,0.96825,0.92036,1,0.98333,0.67619,1.11105,0.89914,0.91487,0.00127092,0.00127092,0.00127092
26,41.36,1.17571,1.19571,0.92667,0.93895,0.96248,0.97277,0.68265,1.06805,0.84662,0.89999,0.00125442,0.00125442,0.00125442
27,42.8217,1.13471,1.12478,0.94003,0.93393,0.99326,0.99267,0.70842,1.08471,0.805,0.89193,0.00123791,0.00123791,0.00123791
28,44.4057,1.09216,1.11293,0.90851,0.95126,1,0.99267,0.67168,1.11515,0.73775,0.89239,0.00122141,0.00122141,0.00122141
29,45.8916,1.17636,1.11155,0.90532,0.98178,1,0.995,0.69482,1.07735,0.74812,0.88541,0.00120491,0.00120491,0.00120491
30,47.3312,1.17103,1.0551,0.8984,0.98178,1,0.995,0.69482,1.07735,0.74812,0.88541,0.0011884,0.0011884,0.0011884
31,48.7743,1.1412,1.07238,0.93883,0.99178,1,0.995,0.68883,1.05928,0.76138,0.8879,0.0011719,0.0011719,0.0011719
32,50.3464,1.14548,1.08531,0.90967,0.98069,1,0.995,0.6568,1.12344,0.74994,0.91001,0.0011554,0.0011554,0.0011554
33,51.8338,1.14166,1.07937,0.91678,0.96307,1,0.995,0.673,1.13821,0.79949,0.91192,0.00113889,0.00113889,0.00113889
34,53.2852,1.13067,1.0491,0.8974,0.98289,1,0.995,0.70709,1.01023,0.67969,0.87965,0.00112239,0.00112239,0.00112239
35,54.7685,1.10535,0.99269,0.91361,0.99433,1,0.995,0.72758,0.99785,0.65548,0.88043,0.00110589,0.00110589,0.00110589
36,56.2317,1.08121,1.00975,0.90851,0.99562,0.99845,0.995,0.70472,1.05653,0.67222,0.89452,0.00108938,0.00108938,0.00108938
37,57.6964,1.09939,1.0423,0.896,0.98321,0.9933,0.995,0.69439,1.09328,0.70054,0.89896,0.00107288,0.00107288,0.00107288
38,59.2001,1.07139,0.99108,0.91252,0.98321,0.9933,0.995,0.69439,1.09328,0.70054,0.89896,0.00105638,0.00105638,0.00105638
39,60.7418,1.02264,0.96119,0.9022,0.97972,1,0.995,0.7092,1.06112,0.69133,0.89142,0.00103987,0.00103987,0.00103987
40,62.2171,1.02948,1.01713,0.91607,0.97591,1,0.995,0.73798,1.02427,0.71096,0.88806,0.00102337,0.00102337,0.00102337
41,63.6947,0.98826,0.91469,0.87557,0.97678,1,0.995,0.73154,1.00606,0.68789,0.88304,0.00100687,0.00100687,0.00100687
42,65.2017,1.03176,0.89485,0.92134,0.97491,1,0.995,0.74233,1.01452,0.66554,0.88277,0.000990365,0.000990365,0.000990365
43,66.6539,1.0366,0.90994,0.90443,0.9747,1,0.995,0.73552,0.97248,0.63699,0.87516,0.000973861,0.000973861,0.000973861
44,68.1053,1.02712,0.92793,0.874,0.97096,1,0.995,0.74611,0.9512,0.63711,0.87363,0.000957358,0.000957358,0.000957358
45,69.5483,1.01269,0.9338,0.88195,0.97554,1,0.995,0.73499,0.94814,0.62126,0.87774,0.000940855,0.000940855,0.000940855
46,71.035,0.95555,0.87063,0.89281,0.97554,1,0.995,0.73499,0.94814,0.62126,0.87774,0.000924352,0.000924352,0.000924352
47,72.5119,1.02956,0.86572,0.90697,0.98102,1,0.995,0.72664,1.00972,0.65074,0.8942,0.000907848,0.000907848,0.000907848
48,73.9752,1.02184,0.9303,0.90088,0.97776,1,0.995,0.7049,1.03748,0.65982,0.89374,0.000891345,0.000891345,0.000891345
49,75.4913,1.07611,0.90452,0.90153,0.97402,1,0.995,0.7138,1.03348,0.65794,0.89253,0.000874842,0.000874842,0.000874842
50,77.0148,1.0219,0.88456,0.88083,0.97192,1,0.995,0.70923,1.08271,0.67872,0.90388,0.000858338,0.000858338,0.000858338
51,78.4856,1.01768,0.9082,0.87347,0.9795,0.99874,0.995,0.66551,1.07614,0.65691,0.90885,0.000841835,0.000841835,0.000841835
52,79.9834,0.96881,0.91313,0.88789,0.99113,1,0.995,0.6918,1.08357,0.63007,0.90988,0.000825332,0.000825332,0.000825332
53,81.5424,0.98567,0.85223,0.87076,0.99192,1,0.995,0.6993,1.05779,0.62588,0.90193,0.000808828,0.000808828,0.000808828
54,83.0207,1.0283,0.89293,0.8926,0.99192,1,0.995,0.6993,1.05779,0.62588,0.90193,0.000792325,0.000792325,0.000792325
55,84.5075,0.93468,0.85525,0.91735,0.98887,1,0.995,0.69873,1.04332,0.63994,0.89824,0.000775822,0.000775822,0.000775822
56,86.0419,1.00308,0.90642,0.8927,0.98376,1,0.995,0.69857,1.0406,0.62152,0.89444,0.000759318,0.000759318,0.000759318
57,87.5487,0.90779,0.82639,0.88272,0.9745,1,0.995,0.69429,1.02272,0.60782,0.89052,0.000742815,0.000742815,0.000742815
58,89.0021,0.97189,0.84305,0.89132,0.97309,0.99888,0.995,0.69976,1.04657,0.60699,0.89317,0.000726312,0.000726312,0.000726312
59,90.4692,0.96855,0.84049,0.87616,0.98089,0.9989,0.995,0.68372,1.06928,0.60733,0.89754,0.000709809,0.000709809,0.000709809
60,91.9706,0.92519,0.78594,0.86739,0.98722,1,0.995,0.69327,1.09436,0.666,0.90307,0.000693305,0.000693305,0.000693305
61,93.4661,0.94009,0.81852,0.85275,0.98943,1,0.995,0.66825,1.09923,0.6535,0.90374,0.000676802,0.000676802,0.000676802
62,94.9035,0.95028,0.82662,0.85478,0.98943,1,0.995,0.66825,1.09923,0.6535,0.90374,0.000660299,0.000660299,0.000660299
63,96.458,0.92022,0.82285,0.8916,0.98768,1,0.995,0.69603,1.09394,0.6352,0.90185,0.000643795,0.000643795,0.000643795
64,97.95,0.92405,0.78376,0.86045,0.98404,1,0.995,0.67922,1.09135,0.60884,0.89582,0.000627292,0.000627292,0.000627292
